freq (MHz);s11 (dB);real Z_in (Ohm); imag Z_in (Ohm)
2220;-5.90495408790667;119.8053500981983;-58.34578205629924
2224;-6.043484416493772;116.984380332299;-57.07448835197756
2228;-6.186455231677694;114.2667895823561;-55.7824368307723
2232;-6.334043876524095;111.648723054762;-54.4731593219101
2236;-6.486436998829081;109.1264208186497;-53.14986621596412
2240;-6.643831365721699;106.6962239479105;-51.81547161925195
2244;-6.806434773234371;104.3545790833691;-50.47261678101331
2248;-6.974467063422052;102.0980416436369;-49.1236918774615
2252;-7.148161263616355;99.92327788456529;-47.77085623982207
2256;-7.327764864778543;97.82706598190018;-46.41605711452232
2260;-7.513541258748119;95.80629628931914;-45.06104704320501
2264;-7.705771357567422;93.85797090427802;-43.70739994861369
2268;-7.904755422120656;91.97920265669096;-42.35652600992506
2272;-8.110815132211849;90.16721362017222;-41.00968540802681
2276;-8.324295936110097;88.41933323216064;-39.66800101776236
2280;-8.545569724758209;86.73299609748013;-38.33247012042225
2284;-8.775037884576408;85.10573953960611;-37.00397520588837
2288;-9.013134793491361;83.53520095490673;-35.68329392991063
2292;-9.260331837982129;82.01911501727449;-34.3711082880946
2296;-9.517142045206876;80.55531077370379;-33.06801306435042
2300;-9.784125444493924;79.14170866539568;-31.77452360783201
2304;-10.06189529773613;77.77631750376543;-30.49108298881929
2308;-10.35112536994534;76.45723142619612;-29.21806858056791
2312;-10.65255845127463;75.18262685244882;-27.95579811089372
2316;-10.96701639267837;73.95075945921521;-26.7045352241724
2320;-11.29541198233764;72.75996118733524;-25.46449459152453
2324;-11.6387630734123;71.60863729363427;-24.23584660421507
2328;-11.99820948144457;70.49526345710777;-23.01872168272678
2332;-12.37503330966248;69.41838294726404;-21.81321423156439
2336;-12.77068354298515;68.37660386078345;-20.61938626759363
2340;-13.18680599061859;67.36859643122199;-19.43727074762883
2344;-13.62527997099024;66.39309041527322;-18.26687461902356
2348;-14.08826354469223;65.44887255805293;-17.10818161520725
2352;-14.57824963927759;64.53478413898125;-15.9611548164156
2356;-15.09813610437396;63.64971859908217;-14.82573899429904
2360;-15.65131360867263;62.79261924987674;-13.70186275763351
2364;-16.2417763270799;61.96247706351473;-12.58944051500723
2368;-16.87426144033644;61.15832854333588;-11.48837426910999
2372;-17.55442415380502;60.37925367368667;-10.39855525608333
2376;-18.28905403249474;59.62437394751052;-9.319865442323223
2380;-19.08633274778518;58.89285046998965;-8.252178890128105
2384;-19.95611448556275;58.18388213632061;-7.195363002665789
2388;-20.91015635810905;57.49670388155651;-6.149279657879446
2392;-21.9620788240242;56.8305850003417;-5.113786240170128
2396;-23.12643765090851;56.18482753428428;-4.08873657795824
2400;-24.41521495532113;55.5587647246636;-3.073981794559191
2404;-25.82722307993372;54.95175952814932;-2.06937107918387
2408;-27.31947865710493;54.36320319320396;-1.074752384300864
2412;-28.74233665386775;53.79251389485736;-0.08997305506790414
2416;-29.75587332883669;53.23913542557736;0.8851196039485189
2420;-29.92755870947486;52.7025359400013;1.850677819997629
2424;-29.17315611418283;52.182206751358;2.806852896958863
2428;-27.87014029989607;51.67766117746795;3.753794809775432
2432;-26.4153384831728;51.18843343429629;4.691651844883214
2436;-25.0101610830563;50.71407757510559;5.620570283336654
2440;-23.72146483326387;50.25416647335142;6.540694123622929
2444;-22.5589540885717;49.8082908475519;7.452164841428385
2448;-21.51301911414063;49.37605832646267;8.355121183860977
2452;-20.56930357730391;48.95709255298524;9.249698995857321
