freq (MHz);s11 (dB);real Z_in (Ohm); imag Z_in (Ohm)
1832;-2.006334142817077;171.9871663409801;209.0388119535519
1836;-2.040137204501431;172.137667276908;206.1530280387757
1840;-2.062906047431923;171.7382748235713;204.1349484162421
1844;-2.073537585252476;170.9819057286807;203.0853042286167
1848;-2.071351031125263;170.0584706240144;203.0719487711343
1852;-2.056136109599396;169.1508832812316;204.1406710665114
1856;-2.028174091225901;168.4357570701601;206.3255095548882
1860;-1.988229469082105;168.0879505908649;209.6576932079918
1864;-1.937513711900396;168.2884009132535;214.1728618359059
1868;-1.877625853980011;169.2351656884841;219.9164531623547
1872;-1.810477057208343;171.1582057314999;226.9470843365051
1876;-1.738207327365707;174.3391752786733;235.337359778583
1880;-1.663102268102389;179.1383987983929;245.1706560872686
1884;-1.587516402226243;186.0323592709854;256.5307019640334
1888;-1.513807639641487;195.6663539270183;269.4774096249511
1892;-1.444285393283117;208.9279922066206;283.9958740425108
1896;-1.38117300204287;227.0459650425505;299.8928238754659
1900;-1.326583720770283;251.7087491685519;316.591263183429
1904;-1.282508642202214;285.1616208412584;332.7345087402323
1908;-1.250814478314653;330.131528103612;345.4637234872651
1912;-1.23324904699671;389.1562049090398;349.2608741585204
1916;-1.231452467119398;462.3999470804662;334.6884999165867
1920;-1.246972355603086;542.9184490576981;288.9782955321977
1924;-1.281281662371554;611.3378949225782;202.9716032552293
1928;-1.335798117250274;640.0969840399064;85.25547921146499
1932;-1.411904562890611;614.7014208339012;-33.53957648207831
1936;-1.510969691168876;548.6906830278497;-122.6030503061943
1940;-1.634368877507712;468.8071978743725;-172.6323693938434
1944;-1.783504910932788;394.2264028254576;-191.753462806046
1948;-1.959828436458819;332.2668475167435;-191.9604127692699
1952;-2.164857839166299;283.2958709421358;-182.3511776967054
1956;-2.400198065180612;245.2099602976582;-168.3936891913686
1960;-2.667557419573703;215.5681301014593;-153.0196663659972
1964;-2.968760575042653;192.2938848660227;-137.6867137087785
1968;-3.305754644060697;173.7920600664538;-123.0612154830469
1972;-3.680602827674034;158.883494238116;-109.4024322006768
1976;-4.095456203026449;146.7069050856041;-96.76712422229723
1980;-4.552487543526965;136.6328928868551;-85.11593994495998
1984;-5.053759837317898;128.1984996403145;-74.36791241157583
1988;-5.600983409645808;121.0599969084259;-64.4278918598685
1992;-6.195084812763413;114.9595061228921;-55.1999240083526
1996;-6.835462388202695;109.7015174510445;-46.59335661527866
2000;-7.51873457346186;105.1363309719083;-38.52521592331303
2004;-8.236710799873874;101.1483068628906;-30.92070738367647
2008;-8.973301151302721;97.64746282286951;-23.71281174879886
2012;-9.700347863510036;94.56341712351711;-16.84148194349328
2016;-10.37338733706161;91.84099184027174;-10.25269915346763
2020;-10.9306617141149;89.43700597608964;-3.897515189257957
2024;-11.30135497766652;87.31793469009041;2.268861587041941
2028;-11.42698318956437;85.45821132084272;8.287916203575683
2032;-11.28761625460775;83.83901874838996;14.19861124101351
2036;-10.91242680227216;82.44746625811416;20.03811289063241
2040;-10.36446313820225;81.27608451117612;25.84247071210544
2044;-9.713937405377836;80.32259939972474;31.64726413810974
2048;-9.01933162589353;79.58996904711965;37.48822823118993
2052;-8.321518022283435;79.08668982430795;43.40186919399731
2056;-7.645812399929454;78.82739948726447;49.4260763645982
2060;-7.006372252896194;78.83383092048025;55.60073090902693
2064;-6.410183683725291;79.13620138038416;61.96830020754439
2068;-5.859924877595271;79.77516314383098;68.57438752249183
2072;-5.3558176202579;80.80449666886088;75.46817279209863
2076;-4.896760265374198;82.29480259022556;82.70262155499177
2080;-4.480998499560219;84.33855095667582;90.33423617068877
2084;-4.106512666383311;87.05698149225097;98.42194335906979
2088;-3.771235508878937;90.60951843538426;107.0243959612625
2092;-3.473169866502283;95.20654993756672;116.1944119615426
2096;-3.210447951959545;101.1265538799645;125.9683033554699
2100;-2.981356893513296;108.7384202016968;136.3461691891445
2104;-2.784345114509899;118.5288802264727;147.2564012010939
2108;-2.618018120727831;131.1318914095648;158.4931647137658
2112;-2.481128709030064;147.3486908691834;169.6094210581138
2116;-2.37256449975072;168.1281045052656;179.7426079652441
2120;-2.291334440148129;194.437302445447;187.3564543809128
2124;-2.236555179138886;226.8890137976749;189.9339082529856
2128;-2.207437768801601;264.9428804322951;183.822134640844
2132;-2.203274883840935;305.6537804337356;164.7602310406884
2136;-2.223428593627996;342.6628475033277;129.8290510972965
2140;-2.267318629078519;367.2521140504497;80.6095269098267
2144;-2.334411032459998;372.6408704939864;24.77079921166386
2148;-2.424207046777;358.5313232102758;-27.10568343618448
2152;-2.536232083763372;330.9008380775684;-67.31656093608265
2156;-2.670024600998528;297.5597168132414;-93.7425658295867
2160;-2.825124717416261;264.4007030533886;-108.3016236806353
2164;-3.0010624027947;234.5043407669517;-114.2767412857457
2168;-3.197345092848091;208.893734903719;-114.6807889804295
2172;-3.413444611174878;187.5015064911523;-111.7421042952494
2176;-3.648783328240724;169.8205222771875;-106.9440037973172
2180;-3.902719563317727;155.2397698643504;-101.218204286342
2184;-4.174532347155304;143.1873227112386;-95.12896219919136
2188;-4.463405821740013;133.1769871932291;-89.008112368688
2192;-4.768413769676433;124.8131561308456;-83.0444477079734
2196;-5.088505048495674;117.7802980444702;-77.34014287543026
2200;-5.42249105810154;111.8286368564032;-71.94557788274146
2204;-5.769036785174873;106.7605329859232;-66.88060062710852
2208;-6.126657420847701;102.4189862380392;-62.14743544590838
2212;-6.493722984420538;98.67843049110189;-57.73848043059726
2216;-6.868473718513987;95.43754940892644;-53.64097882577946
2220;-7.249049124269312;92.61373741613677;-49.83977310400469
2224;-7.633533224186554;90.13885200502587;-46.31887784642923
2228;-8.020017817593502;87.95596382655764;-43.0623217923597
2232;-8.406684019823306;86.01687502809924;-40.05453681001587
2236;-8.791900258443743;84.28023179457936;-37.28046736137966
2240;-9.174332334528973;82.71010114318442;-34.72551134978418
2244;-9.553058567850517;81.27491525132423;-32.37536579374166
2248;-9.92768104845948;79.94671051945228;-30.21582862478586
2252;-10.2984232874175;78.70060486662881;-28.23259482813158
2256;-10.66620561057724;77.51446698980394;-26.41107708102712
2260;-11.03269260192009;76.36873693956434;-24.73627526548402
2264;-11.40031140461337;75.24635979664865;-23.19271389003934
2268;-11.77224492486944;74.13279491921556;-21.7644603905324
2272;-12.15240898407359;73.0160636165887;-20.435229972856
2276;-12.54542644349252;71.88679952494861;-19.18857421860442
2280;-12.95661398327075;70.73826945085246;-18.00814177867621
2284;-13.39199887473145;69.56633854538781;-16.87799123621113
2288;-13.85838465925375;68.36936226521674;-15.78292990288268
2292;-14.36348757073581;67.14799789558164;-14.70884903947048
2296;-14.91617179679717;65.90493917239195;-13.64302641428562
2300;-15.52682416660468;64.64458724690967;-12.5743712158139
2304;-16.20793238681248;63.37267853077866;-11.49359341272918
2308;-16.97497445787952;62.09589394459871;-10.39328847265011
2312;-17.84780835327447;60.82147451472461;-9.26793744854108
2316;-18.85290856938338;59.55686550863983;-8.113830459432728
2320;-20.02711440591103;58.30940624197373;-6.928927542706171
2324;-21.4242274769708;57.08607643658001;-5.712674261358167
2328;-23.12725392038584;55.89330364077621;-4.465790339460676
2332;-25.27197847315077;54.73683059981082;-3.190048389028249
2336;-28.08822581526165;53.62163712425878;-1.888057115587181
2340;-31.87526190806118;52.55190815450985;-0.5630599295067343
2344;-35.42751121100282;51.53103830062842;0.7812437539574379
2348;-33.14980247561191;50.56166291316743;2.140850624164274
2352;-29.02053067497463;49.64570639549626;3.511577937443971
2356;-25.85922562316392;48.78443967997083;4.889161466873184
2360;-23.46638845001064;47.9785402806196;6.269329611366076
2364;-21.57582841757063;47.2281498929926;7.647857293606844
2368;-20.02817610354224;46.5329259976021;9.020603764274643
2372;-18.72786646068894;45.89208525981631;10.38353856472458
2376;-17.61437758273768;45.30443767711974;11.73275978587513
2380;-16.64726527341736;44.76841140749173;13.06450847904688
2384;-15.79822329745944;44.28206904097939;14.37518268060115
2388;-15.04664776182357;43.84311677636336;15.66135403759556
2392;-14.37702668757426;43.4489085581459;16.91978947708087
2396;-13.77733050958805;43.09644772715811;18.1474797435998
2400;-13.23797877658743;42.78238913720307;19.34167592723518
2404;-12.75115331200395;42.50304497001662;20.49993430840734
2408;-12.3103279674725;42.25439760562407;21.62016895496762
2412;-11.90993866824112;42.03212282779204;22.70071053872614
2416;-11.54514741466009;41.83162631408426;23.74036883323662
2420;-11.21167130594301;41.64809573392381;24.73849538119405
2424;-10.90565809209605;41.47656983416342;25.69504197407812
2428;-10.62359618869539;41.31202464358601;26.61060998446259
2432;-10.36225111516788;41.14947543644141;27.4864853539819
2436;-10.11862284294345;40.98409147458322;28.32465427313821
2440;-9.889920087339402;40.81131896090071;29.12779535863394
2444;-9.673548461085668;40.62700627913625;29.89924544187622
2448;-9.467109832191889;40.42752466718182;30.64293785125487
2452;-9.268410343675811;40.20987714197918;31.36331414136058
2456;-9.075474483456196;39.97178886644357;32.06521236804812
2460;-8.886562456980492;39.71177322969087;32.75373696768106
2464;-8.700188024024055;39.42916960255491;33.43411681901699
2468;-8.515134011291101;39.12415083668377;34.11155894833585
2472;-8.330462972302506;38.79770083842357;34.79110547520715
2476;-8.145520961180107;38.45156468957916;35.47750079069415
2480;-7.959933091781815;38.08817555568456;36.175074721478
2484;-7.773590394015605;37.71056383715044;36.88764575422062
2488;-7.586628347059936;37.32225459053633;37.61844651005509
2492;-7.399398246947508;36.92715918339873;38.37007180619841
2496;-7.212433152676436;36.52946653541556;39.14444802162163
2500;-7.026410487879246;36.13353828444165;39.94282123805652
2504;-6.842113439292814;35.74381096624774;40.76576082920658
2508;-6.660393119238343;35.36470697404962;41.61317482858019
2512;-6.482133109708904;35.0005548067918;42.48433347861403
2516;-6.30821755765319;34.65551802616206;43.37789777787951
2520;-6.139503519362796;34.33353148679152;44.29195051272335
2524;-5.976797816594337;34.03824281506987;45.2240280988761
2528;-5.820838307753125;33.77295679907285;46.17115249097431
2532;-5.672279213014228;33.54058031120059;47.12986337989513
2536;-5.53167996457593;33.34356560703466;48.09625183673196
2540;-5.399496972718314;33.18385031980381;49.06599743178214
2544;-5.276077689312372;33.06279319305769;50.03441161008435
2548;-5.161656395605045;32.98110555777259;50.99649068729961
2552;-5.05635122457773;32.93877975030983;51.94698217351307
2556;-4.960162036974628;32.93501705328689;52.88046815535589
2560;-4.872968894658849;32.96815926114363;53.79146907464749
2564;-4.794531008760252;33.03562952118446;54.67457033968979
2568;-4.72448617879757;33.13388952070699;55.52457271695105
2572;-4.662350879291059;33.25842116722746;56.33666534575183
2576;-4.607521288771789;33.40374138283496;57.10661754546339
2580;-4.559275687402746;33.56345823134971;57.8309825039755
2584;-4.516778765702104;33.73037507912749;58.50730274133115
2588;-4.479088476392683;33.896646719815;59.13430435842622
2592;-4.445166108339198;34.05398740717626;59.712065027031
2596;-4.413890246432032;34.19392580786583;60.24213999013121
2600;-4.38407518304853;34.30809652981689;60.72763145998738
2604;-4.354494146318657;34.38855283607567;61.17318994040709
2608;-4.323907396314325;34.42808125597133;61.58494104306421
2612;-4.291094815203605;34.42049683086192;61.97033782014579
2616;-4.254892105000397;34.36089820884152;62.3379456660802
2620;-4.214229155630612;34.24586486165016;62.69717342108474
2624;-4.168168629907677;34.07358400193928;63.05796942021274
2628;-4.115942420315722;33.84390157577378;63.43050408665322
2632;-4.056983455351491;33.55829897563619;63.82486088378163
2636;-3.990950439721273;33.21980380049673;64.25075510771838
2640;-3.917743529617572;32.83284819483368;64.71729563874766
2644;-3.837509641549611;32.40309147726717;65.23279917613928
2648;-3.750636983216539;31.93722477122279;65.80466054689607
2652;-3.657739347926396;31.44277438861914;66.43927720135113
2656;-3.559631586078822;30.9279182625312;67.14202156096229
2660;-3.457298332434385;30.40132636156278;67.9172517614755
2664;-3.351858445421591;29.87203231792031;68.76834956944303
2668;-3.244527681958703;29.34933992431436;69.69777367245536
2672;-3.136581921121628;28.84276500563213;70.70711686611084
2676;-3.029322835327013;28.3620105894029;71.79715655941466
2680;-2.924047379438692;27.91697128210853;72.96788919675491
2684;-2.822021914331212;27.5177611988575;74.21854041770321
2688;-2.724461272020558;27.17475851833887;75.54754390203453
2692;-2.632512649550339;26.89865853833322;76.95248282738221
2696;-2.547243908465126;26.70052578055956;78.42998874580903
2700;-2.469635655709655;26.59183404713;79.97559360162934
2704;-2.400576376455492;26.5844812151418;81.58353179989713
2708;-2.340859859120342;26.69076289122334;83.24649102779807
2712;-2.29118417560932;26.92328586656934;84.95531337071445
2716;-2.252151535471117;27.29479882400053;86.69865269412533
2720;-2.224268405001004;27.81791442799785;88.46260089786081
2724;-2.207945359652121;28.50469463562997;90.23030509965841
2728;-2.203496213150931;29.36607116644699;91.98161050860915
2732;-2.211136036086323;30.41107752302251;93.69277968661014
2736;-2.230977740418757;31.64588028424452;95.33635715636275
2740;-2.263026967170695;33.0726184032543;96.88126653074019
2744;-2.307175077906926;34.68809230664024;98.29324110895838
2748;-2.363190124346745;36.48239038587576;99.53569145667875
2752;-2.430705764865596;38.43759614148146;100.5710961709619
2756;-2.509208224447577;40.52677640054259;101.3629559465448
2760;-2.598021570622096;42.71349454589203;101.8782706450408
2764;-2.696291817921184;44.95210176526033;102.0903870919275
2768;-2.802970692177178;47.18901238271724;101.9819378159577
2772;-2.9168002931046;49.36505312792518;101.5474789390118
2776;-3.036300386811032;51.41879673581896;100.7953799352787
2780;-3.159760615443191;53.29058003623759;99.74855658610703
2784;-3.285240471804685;54.92672146268567;98.44378682725824
2788;-3.410580349245683;56.28335486214316;96.92958640604247
2792;-3.533427184786869;57.32932843850681;95.26288944877324
2796;-3.651277962328849;58.04778108197181;93.50500172106857
2800;-3.7615434121379;58.43625868837952;91.71740685489559
2804;-3.861632459045152;58.50549699224057;89.95798178003444
2808;-3.949055304601954;58.27720297888685;88.27803740519779
2812;-4.021539696208004;57.78127045835765;86.72039817192824
2816;-4.077151472676167;57.05286217533674;85.31853160579898
2820;-4.114407693683761;56.12970773736671;84.096583635952
2824;-4.13236946836153;55.04984454004547;83.07008836147162
2828;-4.130702688388867;53.84990558324946;82.24709898056962
2832;-4.109698392305573;52.56395845988543;81.62951192802689
2836;-4.070249869198748;51.22283390689255;81.21440693246244
2840;-4.013789665883277;49.85384886652115;80.9952830353224
2844;-3.942194972970867;48.4808206365685;80.96312237515419
2848;-3.857673270408692;47.12427636177014;81.10725387047989
2852;-3.762641078153412;45.80177788821686;81.41601666276635
2856;-3.659607365790706;44.528300123767;81.87723984638995
2860;-3.551070338273718;43.31661802758806;82.47856326086591
2864;-3.439432843812549;42.17767149110504;83.20762668681938
2868;-3.326938346129334;41.12088817902581;84.0521539884529
2872;-3.215626784270929;40.15445208230906;84.9999563199452
2876;-3.107307912646788;39.28551064348402;86.03887564873172
2880;-3.003548831964799;38.52031651358767;87.15668728568403
2884;-2.905672210658992;37.86430195455485;88.34097825942422
